@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
367,369,372,False,False,False,True,True,0,0,17,29,4,8,West,False,False,False,False,South
366,368,371,False,False,False,True,True,0,0,17,22,4,7,South,False,False,False,False,South
365,367,370,False,False,False,True,True,0,0,15,24,4,6,South,False,False,False,False,East
364,366,369,False,False,False,True,True,0,0,17,22,5,6,East,False,False,False,False,East
363,365,368,False,False,False,True,True,0,0,16,20,6,6,East,False,True,False,False,East
362,364,367,False,False,False,True,True,0,0,11,21,7,6,East,False,True,False,True,East
361,363,366,False,False,False,True,True,0,0,12,22,8,6,East,False,False,False,False,North
360,362,365,False,False,False,True,True,0,0,13,22,8,7,North,True,False,False,False,North
359,361,364,False,False,False,True,True,0,0,17,23,8,8,North,True,False,False,False,North
358,360,363,False,False,False,True,True,0,0,15,22,8,9,North,True,False,False,False,North
357,359,362,False,False,False,True,True,0,0,17,27,8,10,North,True,False,False,False,North
356,358,361,False,False,False,True,True,0,0,17,25,8,11,North,True,False,False,False,East
355,357,360,False,False,False,True,True,0,0,12,22,9,11,East,False,False,False,False,North
354,356,359,False,False,False,True,True,0,0,18,27,9,12,North,False,False,False,False,East
353,355,358,False,False,False,True,True,0,0,18,24,10,12,East,False,False,False,False,East
352,354,357,False,False,False,True,True,0,0,17,20,11,12,East,False,False,False,True,East
351,353,356,False,False,False,True,True,0,0,19,17,12,12,East,False,True,False,True,East
350,352,355,False,False,False,True,True,0,0,17,17,13,12,East,False,False,False,True,East
349,351,354,False,False,False,True,True,0,0,17,14,14,12,East,False,False,False,False,South
348,350,353,False,False,False,True,True,0,0,17,12,14,11,South,False,False,False,False,South
347,349,352,False,False,False,True,True,0,0,13,14,14,10,South,False,False,False,False,South
346,348,351,False,False,False,True,True,0,0,14,12,14,9,South,False,False,True,False,South
345,347,350,False,False,False,True,True,0,0,13,13,14,8,South,False,False,False,False,East
344,346,349,False,False,False,True,True,0,0,12,14,15,8,East,False,True,False,True,East
343,345,348,False,False,False,True,True,0,0,13,9,16,8,East,False,True,False,True,East
342,344,347,False,False,False,True,True,0,0,14,12,17,8,East,False,True,False,True,East
341,343,346,False,False,False,True,True,0,0,9,10,18,8,East,False,True,False,True,East
340,342,345,False,False,False,True,True,0,0,9,13,19,8,East,False,True,False,True,East
339,341,344,False,False,False,True,True,0,0,8,4,20,8,East,False,True,False,True,East
338,340,343,False,False,False,True,True,0,0,7,12,21,8,East,False,True,False,True,East
337,339,342,False,False,False,True,True,0,0,5,5,22,8,East,False,True,False,True,East
536,338,341,False,False,False,True,True,0,0,4,7,23,8,East,False,False,False,False,South
535,337,340,False,False,False,True,True,0,0,5,3,23,7,South,True,False,False,False,South
534,536,339,False,False,False,True,True,0,0,4,7,23,6,South,False,False,False,False,South
533,535,338,False,False,False,True,True,0,0,3,3,23,5,South,True,False,False,False,South
532,534,337,False,False,False,True,True,0,0,2,3,23,4,South,False,False,False,False,South
-5,-3,0,False,True,True,True,True,16,25,28,30,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,13,24,30,35,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,17,24,28,35,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,6,21,30,35,1,18,Stop,True,False,False,True,South
-9,-7,-4,False,True,True,True,True,11,24,28,33,1,17,South,True,False,True,False,South
-10,-8,-5,False,True,True,True,True,10,19,26,31,1,16,South,True,False,False,False,South
-11,-9,-6,False,True,True,True,True,9,19,25,31,1,15,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,4,16,24,27,1,14,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,6,16,23,26,1,13,South,True,False,True,False,South
-14,-12,-9,False,True,True,True,True,5,16,23,24,1,12,South,True,False,False,False,South
-15,-13,-10,False,True,True,True,True,5,13,25,26,1,11,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,5,6,21,27,1,10,South,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,1,7,22,25,1,9,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,2,11,19,22,1,8,South,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,4,11,15,26,1,7,South,True,False,True,False,South
-20,-18,-15,False,True,True,True,True,5,9,17,26,1,6,South,True,False,False,False,East
-21,-19,-16,False,True,True,True,True,0,7,17,26,2,6,East,False,False,False,True,East
178,-20,-17,False,True,True,True,True,1,6,16,22,3,6,East,False,False,False,False,North
177,-21,-18,False,True,True,True,True,2,5,15,20,3,7,North,True,False,False,False,North
176,178,-19,False,True,True,True,True,4,6,18,16,3,8,North,True,False,False,False,East
175,177,-20,False,True,True,True,True,3,8,22,17,4,8,East,False,False,False,False,South
174,176,-21,False,True,True,True,True,4,6,13,18,4,7,South,False,False,False,False,West
173,175,178,False,False,True,True,True,0,10,18,17,3,7,West,True,False,False,False,South
172,174,177,False,False,True,True,True,0,10,19,18,3,6,South,False,False,False,False,East
171,173,176,False,False,True,True,True,0,7,17,15,4,6,East,False,False,False,False,East
170,172,175,False,False,True,True,True,0,6,19,16,5,6,East,False,False,False,False,East
169,171,174,False,False,True,True,True,0,7,15,15,6,6,East,False,True,False,False,East
168,170,173,False,False,True,True,True,0,5,17,15,7,6,East,False,True,False,True,East
167,169,172,False,False,True,True,True,0,4,17,11,8,6,East,False,False,False,False,East
166,168,171,False,False,True,True,True,0,4,14,13,9,6,East,False,False,False,False,North
165,167,170,False,False,True,True,True,0,1,14,11,9,7,North,False,False,False,False,North
164,166,169,False,False,True,True,True,0,5,14,11,9,8,North,False,False,False,False,North
163,165,168,False,False,True,True,True,0,1,13,13,9,9,North,False,False,False,False,West
162,164,167,False,False,True,True,True,0,2,18,9,8,9,West,True,False,False,False,South
161,163,166,False,False,True,True,True,0,1,14,13,8,8,South,True,False,False,False,South
160,162,165,False,False,True,True,True,0,3,18,12,8,7,South,True,False,False,False,South
159,161,164,False,False,True,True,True,0,2,13,17,8,6,South,False,False,False,False,East
358,160,163,False,False,True,True,True,0,2,12,13,9,6,East,False,False,False,False,North
357,159,162,False,False,True,True,True,0,4,15,6,9,7,North,False,False,False,False,North
356,358,161,False,False,True,True,True,0,0,11,10,9,8,North,False,False,False,False,South
355,357,160,False,False,True,True,True,0,0,14,11,9,7,South,False,False,False,False,South
354,356,159,False,False,True,True,True,0,0,6,14,9,6,South,False,False,False,False,East
353,355,358,False,False,False,True,True,0,0,8,18,10,6,East,False,False,False,False,North
352,354,357,False,False,False,True,True,0,0,12,12,10,7,North,False,False,False,False,North
351,353,356,False,False,False,True,True,0,0,15,13,10,8,North,False,False,False,False,North
350,352,355,False,False,False,True,True,0,0,12,20,10,9,North,False,False,False,False,North
349,351,354,False,False,False,True,True,0,0,10,16,10,10,North,False,False,False,False,North
