@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
-10,True,True,True,True,13,20,11,12,17,18,11,11,13,10,South,True,False,True,False,South,-13,True,True,True,True,16,14,8,7,15,12,10,6,13,7,South,True,False,True,False,South,1.19898
-11,True,True,True,True,17,16,9,9,13,20,11,12,13,9,South,True,False,True,False,South,-14,True,True,True,True,13,13,11,3,16,14,8,7,13,6,South,True,False,True,False,South,1.375
-12,True,True,True,True,15,12,10,6,17,16,9,9,13,8,South,True,False,True,False,South,-15,True,True,True,True,12,14,11,4,13,13,11,3,13,5,South,False,False,True,False,South,1.39881
-15,True,True,True,True,12,14,11,4,13,13,11,3,13,5,South,False,False,True,False,South,182,True,True,True,False,13,10,11,0,13,12,6,0,12,3,West,False,True,False,True,West,1.493506
-16,True,True,True,True,13,10,10,0,12,14,11,4,13,4,South,True,False,True,False,South,181,True,True,True,False,14,7,9,0,13,10,11,0,11,3,West,False,True,False,True,West,1.763889
183,True,True,True,False,13,12,6,0,13,10,10,0,13,3,South,False,True,True,False,West,180,True,True,True,False,13,14,9,0,14,7,9,0,10,3,West,False,True,False,True,West,1.763889
182,True,True,True,False,13,10,11,0,13,12,6,0,12,3,West,False,True,False,True,West,179,True,True,True,False,9,12,5,0,13,14,9,0,9,3,West,False,True,False,True,West,1.957237
181,True,True,True,False,14,7,9,0,13,10,11,0,11,3,West,False,True,False,True,West,178,True,True,True,False,11,10,4,0,9,12,5,0,8,3,West,False,True,False,True,West,2.511905
180,True,True,True,False,13,14,9,0,14,7,9,0,10,3,West,False,True,False,True,West,177,True,True,True,False,6,10,4,0,11,10,4,0,7,3,West,False,True,False,True,West,2.96875
179,True,True,True,False,9,12,5,0,13,14,9,0,9,3,West,False,True,False,True,West,176,True,True,True,False,8,11,1,0,6,10,4,0,6,3,West,True,True,False,False,North,3.017241
