@relation prueba-weka.filters.unsupervised.attribute.Remove-R19-37

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
374,4,0,0,0,11,0,0,0,10,10,5,South,False,False,False,False,East
372,4,0,0,0,12,0,0,0,11,12,5,East,False,True,False,True,East
571,4,0,0,0,12,0,0,0,12,13,5,East,False,False,False,True,South
570,4,0,0,0,13,0,0,0,12,13,4,South,True,False,False,False,North
569,4,0,0,0,13,0,0,0,13,13,5,North,False,False,False,True,West
568,4,0,0,0,12,0,0,0,13,12,5,West,False,True,False,True,West
567,4,0,0,0,12,0,0,0,12,11,5,West,False,False,False,True,West
566,4,0,0,0,12,0,0,0,12,10,5,West,False,False,False,False,North
565,4,0,0,0,11,0,0,0,12,10,6,North,False,False,True,False,North
563,4,0,0,0,7,0,0,0,9,10,8,North,False,False,True,False,North
562,4,0,0,0,5,0,0,0,7,10,9,North,False,False,False,False,West
561,4,0,0,0,6,0,0,0,5,9,9,West,False,False,False,True,West
560,4,0,0,0,5,0,0,0,6,8,9,West,False,False,False,True,West
559,4,0,0,0,5,0,0,0,5,7,9,West,False,False,False,True,West
558,4,0,0,0,4,0,0,0,5,6,9,West,False,False,False,False,North
0,4,0,11,7,7,0,0,0,0,1,11,Stop,True,False,False,True,Stop
-2,4,0,12,7,9,0,12,6,8,1,11,Stop,True,False,False,True,Stop
-3,4,0,12,6,9,0,12,7,9,1,11,Stop,True,False,False,True,South
-4,4,0,12,6,10,0,12,6,9,1,10,South,True,False,True,False,South
-5,4,0,10,4,11,0,12,6,10,1,9,South,True,False,False,False,South
-8,4,0,10,1,12,0,8,2,12,3,8,East,False,False,False,False,East
191,4,0,11,0,12,0,10,1,12,4,8,East,False,False,False,False,West
190,4,0,11,0,14,0,11,0,12,3,8,West,False,False,False,False,West
189,4,0,10,0,14,0,11,0,14,2,8,West,False,False,False,False,West
188,4,0,10,0,14,0,10,0,14,1,8,West,True,False,False,False,South
187,4,0,8,0,16,0,10,0,14,1,7,South,True,False,False,False,South
185,4,0,4,0,18,0,6,0,16,1,5,South,True,False,False,False,South
184,4,0,2,0,18,0,4,0,18,1,4,South,True,False,False,False,South
383,4,0,0,0,18,0,2,0,18,1,3,South,True,True,False,False,East
382,4,0,0,0,16,0,0,0,18,2,3,East,False,True,False,False,East
381,4,0,0,0,16,0,0,0,16,3,3,East,False,True,False,False,East
380,4,0,0,0,15,0,0,0,16,4,3,East,False,True,False,False,East
379,4,0,0,0,15,0,0,0,15,5,3,East,False,True,False,False,East
378,4,0,0,0,14,0,0,0,15,6,3,East,False,True,False,False,East
377,4,0,0,0,12,0,0,0,14,7,3,East,False,True,False,False,East
376,4,0,0,0,10,0,0,0,12,8,3,East,False,True,False,False,East
375,4,0,0,0,10,0,0,0,10,9,3,East,False,True,False,False,East
374,4,0,0,0,10,0,0,0,10,10,3,East,False,True,False,False,North
373,4,0,0,0,8,0,0,0,10,10,4,North,False,False,False,False,North
