@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West}

@data
181,False,True,True,True,0,2,9,15,9,7,East,False,False,False,False,East
384,True,False,False,True,9,0,0,17,4,9,West,False,False,False,True,West
387,True,False,False,True,13,0,0,10,7,9,East,False,False,False,True,West
557,False,False,False,True,0,0,0,11,16,4,East,False,False,False,False,East
-10,True,True,True,True,7,8,13,14,9,8,South,False,False,False,False,South
527,False,False,True,False,0,0,13,0,22,16,North,False,False,False,True,West
528,False,False,True,False,0,0,11,0,22,15,North,False,False,False,False,North
579,False,False,False,True,0,0,0,15,6,5,West,False,False,False,True,East
373,True,False,False,True,3,0,0,19,4,4,West,False,False,False,False,West
573,False,True,False,False,0,7,0,0,4,6,South,False,False,False,False,South
-9,True,True,True,True,6,7,4,6,1,10,South,True,False,True,False,South
190,True,False,True,True,7,0,1,14,5,9,North,False,False,False,False,North
367,False,False,True,True,0,0,14,23,11,6,North,False,False,True,False,North
355,False,False,True,True,0,0,11,8,17,12,East,False,False,False,False,North
161,False,True,True,True,0,6,18,23,9,3,East,False,True,False,False,East
380,False,False,True,True,0,0,7,6,3,5,North,False,False,False,False,North
352,False,False,True,True,0,0,14,19,10,11,North,False,False,False,False,North
356,False,False,True,True,0,0,13,27,10,7,North,False,False,False,False,North
385,True,False,False,True,4,0,0,7,7,5,West,False,False,False,True,West
-11,True,True,True,True,6,8,2,7,1,8,South,True,False,True,False,South
533,False,False,True,False,0,0,6,0,20,11,South,False,False,True,False,South
191,True,False,True,True,3,0,4,11,5,8,South,False,False,False,False,North
-13,True,True,True,True,7,7,5,6,1,7,South,True,False,True,False,South
378,False,False,True,True,0,0,6,11,12,7,East,False,False,False,False,East
